station_name	station_code	elevated	toilet	gate_number	gate_location	divyang_friendly	parking_available	parking_cycle	parking_motorcycle	parking_car	lat	lon
huda city centre	HCC	TRUE	TRUE	gate no. 3	unitech buisiness park	FALSE	TRUE	318	3052	297	28.459118	77.072586
huda city centre	HCC	TRUE	TRUE	gate no. 2	fortis hospital	FALSE	TRUE	318	3052	297	28.459118	77.072586
huda city centre	HCC	TRUE	TRUE	gate no. 1	fortis hospital	FALSE	TRUE	318	3052	297	28.459118	77.072586
hindon river	HDNR	TRUE	TRUE	gate no. 1	"hindon vihar, nandgram"	TRUE	TRUE	49	594	57	28.673508	77.40654
hindon river	HDNR	TRUE	TRUE	gate no. 2	"sai upvan temple, hindon ghat"	TRUE	TRUE	49	594	57	28.673508	77.40654
hauz khas	HKS	FALSE	TRUE	gate no. 4	kalu sarai	TRUE	TRUE	35	339	33	28.54334336	77.20503644
hauz khas	HKS	FALSE	TRUE	gate no. 2	laxman public school	FALSE	TRUE	35	339	33	28.54334336	77.20503644
hauz khas	HKS	FALSE	TRUE	gate no. 1	outer ring road towards iit	TRUE	TRUE	35	339	33	28.54334336	77.20503644
hauz khas	HKS	FALSE	TRUE	gate no. 3	shri krishna chaitanya mahaprabhu parg	TRUE	TRUE	35	339	33	28.54334336	77.20503644
indraprastha	IDPT	TRUE	TRUE	gate no. 1	"mahatma gandhi marg, ip estate"	TRUE	TRUE	10	50	150	28.620272	77.250076
indraprastha	IDPT	TRUE	TRUE	gate no. 2	near dtc headquarters	FALSE	TRUE	10	50	150	28.620272	77.250076
iffco chowk	IFOC	TRUE	TRUE	gate no. 3	umkal hospital	FALSE	TRUE	318	1198	116	28.472137	77.072502
iffco chowk	IFOC	TRUE	TRUE	gate no. 2	iffco tower	TRUE	TRUE	318	1198	116	28.472137	77.072502
iffco chowk	IFOC	TRUE	TRUE	gate no. 1	bus stand towards m.g. road	FALSE	TRUE	318	1198	116	28.472137	77.072502
												
												
												
												
												
												
inderlok	ILOK	TRUE	TRUE	gate no. 6	cisf dog training area	FALSE	TRUE	164	1577	153	28.673452	77.170235
inderlok	ILOK	TRUE	TRUE	gate no. 5	nirankari bhawan	TRUE	TRUE	164	1577	153	28.673452	77.170235
inderlok	ILOK	TRUE	TRUE	gate no. 4	cooler market	FALSE	TRUE	164	1577	153	28.673452	77.170235
inderlok	ILOK	TRUE	TRUE	gate no. 3	big bazaar exit	FALSE	TRUE	164	1577	153	28.673452	77.170235
inderlok	ILOK	TRUE	TRUE	gate no. 2	service road	FALSE	TRUE	164	1577	153	28.673452	77.170235
inderlok	ILOK	TRUE	TRUE	gate no. 1	big bazaar entry	TRUE	TRUE	164	1577	153	28.673452	77.170235
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
jamia milia islamiya	JANR	FALSE	TRUE	gate no. 3	tikona park	TRUE	TRUE	50	476	46	28.562944	77.286209
jamia milia islamiya	JANR	FALSE	TRUE	gate no. 2	batla house	FALSE	TRUE	50	476	46	28.562944	77.286209
jamia milia islamiya	JANR	FALSE	TRUE	gate no. 1	jamia millia islamia university	TRUE	TRUE	50	476	46	28.562944	77.286209
												
												
												
												
												
												
												
												
jahangirpuri	JGPI	TRUE	TRUE	gate no. 4	jahangirpuri industrial area	TRUE	TRUE	84	808	79	28.72599753	77.16266103
jahangirpuri	JGPI	TRUE	TRUE	gate no. 3	rajasthan udyog nagar	FALSE	TRUE	84	808	79	28.72599753	77.16266103
jahangirpuri	JGPI	TRUE	TRUE	gate no. 2	"jahangirpuri mahendra park , dda flat & a block"	TRUE	TRUE	84	808	79	28.72599753	77.16266103
jahangirpuri	JGPI	TRUE	TRUE	gate no. 1	"jahangirpuri ram garh , dda flat & a block"	FALSE	TRUE	84	808	79	28.72599753	77.16266103
												
												
jasola-apollo	JLA	TRUE	TRUE	gate no. 2	u.s. complex	TRUE	TRUE	22	207	20	28.53817844	77.28324105
jasola-apollo	JLA	TRUE	TRUE	gate no. 1	indraprasta apollo hospital	TRUE	TRUE	22	207	20	28.53817844	77.28324105
jhilmil	JLML	TRUE	TRUE	gate no. 1	jhilmil industrial area	TRUE	TRUE	50	250	105	28.675648	77.312393
jhilmil	JLML	TRUE	TRUE	gate no. 2	towards gt road	TRUE	TRUE	50	250	105	28.675648	77.312393
												
												
												
												
												
janak puri east	JPE	TRUE	TRUE	gate no. 3	"village nangli jalib and janakpuri b1,b2 block"	FALSE	TRUE	76	731	71	28.633121	77.086578
janak puri east	JPE	TRUE	TRUE	gate no. 2	amarleela hospital and bharti college	FALSE	TRUE	76	731	71	28.633121	77.086578
janak puri east	JPE	TRUE	TRUE	gate no. 1	mahaveer nagar and vikas puri	TRUE	TRUE	76	731	71	28.633121	77.086578
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
