station_name	station_code	elevated	toilet	parking_available	parking_cycle	parking_motorcycle	parking_car	gate_location	lat	lon
majlis park	MKPR	TRUE	TRUE	TRUE	100	150	70	Near Gate No. 2	28.724157	77.182068
moolchand	MLCD	TRUE	TRUE	TRUE	32	304	30	Near Gate No. 1	28.564391565059800	77.23425739267140
mewala maharajpur	MMJR	TRUE	TRUE	TRUE	15	146	14	Near Gate No. 3	28.4485	77.308098
moti nagar	MN	TRUE	TRUE	TRUE	94	901	89	Near Gate 1 & 4	28.657858395290400	77.14243701213340
mohan nagar	MNGM	TRUE	TRUE	FALSE	0	0	0		28.67856	77.384209
mansarovar park	MPK	TRUE	TRUE	TRUE	60	250	30	Near Gate 01 & 02		
mundka	MUDK	TRUE	TRUE	TRUE	120	1154	112	Near Gate No.2	28.682446300582600	77.03058163453980
maujpur-babarpur	MUPR	TRUE	TRUE	FALSE	0	0	0		28.692065265597000	77.27971100404430
mayur vihar extension	MVE	TRUE	TRUE	TRUE	50	250	50	Near Gate No. 1		
malviya nagar	MVNR	FALSE	TRUE	TRUE	29	282	27	Near Gate No. 3	28.529092081627300	77.2048349497373
mayur vihar -i	MVP 1.00	TRUE	TRUE	TRUE	15	100	40	Near Gate No. 1	28.60364485862200	77.29092370599030
mayur vihar pocket-1	MVPO	TRUE	TRUE	FALSE	0	0	0		28.605896073177500	77.29869219568950
mayapuri	MYPI	TRUE	TRUE	TRUE	46	445	43	Near Gate no 2	28.637098	77.129738
new ashok nagar	NAGR	TRUE	TRUE	FALSE	0	0	0		28.58847	77.30146
naraina vihar	NAVR	FALSE	TRUE	FALSE	0	0	0		28.624121	77.136482
shaheed sthal ( new bus adda)	NBAA	TRUE	TRUE	TRUE	16	311	0	Gate No 2	28.67064727358870	77.41546186007560
neelam chowk ajronda	NCAJ	TRUE	TRUE	TRUE	15	250	100	Near Gate No.3	28.39764839334980	77.31237112263570
sant surdas (sihi)	NCBC	TRUE	TRUE	FALSE	0	0	0		28.354666	77.316261
noida city centre	NCC	TRUE	TRUE	TRUE	50	220	90	Near Gate No. 1 & 3	28.574593	77.356117
new delhi (yellow & airport line)	NDI	FALSE	TRUE	TRUE	0	100	800	Multi Level Car Parking Building		
noida electronic city	NECC	TRUE	TRUE	TRUE	10	300	150	Near Gate No. 1	28.628685	77.375229
najafgarh	NFGH	FALSE	TRUE	TRUE	55	220	58		28.612428090049600	76.9865182376769
nhpc chowk	NHPC	TRUE	TRUE	TRUE	56	534	52	Near Gate no 2 & 3	28.457731348420800	77.30736105044820
sarai kale khan - nizamuddin	NIZM	FALSE	TRUE	FALSE	0	0	0		28.58875171828190	77.25727089248280
nangli	NNGI	TRUE	TRUE	FALSE	0	0	0		28.61722	77.010345
nangloi	NNOI	TRUE	TRUE	TRUE	101	965	94	Towards Gate No.2	28.682356	77.064728
