station_code,day,hour,BICYCLE,TWO_WHEELER,CAR_JEEP_VAN
ASDM,Sunday,10:00,96.0,65.0,63.0
ASDM,Sunday,11:00,96.0,65.0,63.0
ASDM,Sunday,12:00,96.0,65.0,63.0
ASDM,Sunday,13:00,96.0,65.0,63.0
ASDM,Sunday,14:00,98.0,19.0,3.0
ASDM,Sunday,15:00,98.0,19.0,3.0
ASDM,Sunday,16:00,98.0,19.0,3.0
ASDM,Sunday,17:00,98.0,19.0,3.0
ASDM,Sunday,18:00,92.0,12.0,15.0
ASDM,Sunday,19:00,92.0,12.0,15.0
ASDM,Sunday,20:00,92.0,12.0,15.0
ASDM,Sunday,21:00,92.0,12.0,15.0
ASDM,Sunday,22:00,96.0,28.0,7.0
ASDM,Sunday,23:00,96.0,28.0,7.0
ASDM,Monday,00:00,97.0,54.0,8.0
ASDM,Monday,01:00,97.0,54.0,8.0
ASDM,Monday,02:00,97.0,54.0,8.0
ASDM,Monday,03:00,97.0,54.0,8.0
ASDM,Monday,04:00,97.0,54.0,8.0
ASDM,Monday,05:00,97.0,54.0,8.0
ASDM,Monday,06:00,97.0,54.0,8.0
ASDM,Monday,07:00,97.0,54.0,8.0
ASDM,Monday,08:00,97.0,54.0,8.0
ASDM,Monday,09:00,97.0,54.0,8.0
ASDM,Monday,10:00,96.0,55.0,52.0
ASDM,Monday,11:00,96.0,55.0,52.0
ASDM,Monday,12:00,96.0,55.0,52.0
ASDM,Monday,13:00,96.0,55.0,52.0
ASDM,Monday,14:00,93.0,0.0,16.0
ASDM,Monday,15:00,93.0,0.0,16.0
ASDM,Monday,16:00,93.0,0.0,16.0
ASDM,Monday,17:00,93.0,0.0,16.0
ASDM,Monday,18:00,91.0,0.0,19.0
ASDM,Monday,19:00,91.0,0.0,19.0
ASDM,Monday,20:00,91.0,0.0,19.0
ASDM,Monday,21:00,91.0,0.0,19.0
ASDM,Monday,22:00,98.0,37.0,7.0
ASDM,Monday,23:00,98.0,37.0,7.0
ASDM,Tuesday,00:00,98.0,54.0,9.0
ASDM,Tuesday,01:00,98.0,54.0,9.0
ASDM,Tuesday,02:00,98.0,54.0,9.0
ASDM,Tuesday,03:00,98.0,54.0,9.0
ASDM,Tuesday,04:00,98.0,54.0,9.0
ASDM,Tuesday,05:00,98.0,54.0,9.0
ASDM,Tuesday,06:00,98.0,54.0,9.0
ASDM,Tuesday,07:00,98.0,54.0,9.0
ASDM,Tuesday,08:00,98.0,54.0,9.0
ASDM,Tuesday,09:00,98.0,54.0,9.0
ASDM,Tuesday,10:00,96.0,55.0,53.0
ASDM,Tuesday,11:00,96.0,55.0,53.0
ASDM,Tuesday,12:00,96.0,55.0,53.0
ASDM,Tuesday,13:00,96.0,55.0,53.0
ASDM,Tuesday,14:00,96.0,0.0,20.0
ASDM,Tuesday,15:00,96.0,0.0,20.0
ASDM,Tuesday,16:00,96.0,0.0,20.0
ASDM,Tuesday,17:00,96.0,0.0,20.0
ASDM,Tuesday,18:00,88.0,0.0,22.0
ASDM,Tuesday,19:00,88.0,0.0,22.0
ASDM,Tuesday,20:00,88.0,0.0,22.0
ASDM,Tuesday,21:00,88.0,0.0,22.0
ASDM,Tuesday,22:00,96.0,19.0,16.0
ASDM,Tuesday,23:00,96.0,19.0,16.0
ASDM,Wednesday,00:00,96.0,52.0,7.0
ASDM,Wednesday,01:00,96.0,52.0,7.0
ASDM,Wednesday,02:00,96.0,52.0,7.0
ASDM,Wednesday,03:00,96.0,52.0,7.0
ASDM,Wednesday,04:00,96.0,52.0,7.0
ASDM,Wednesday,05:00,96.0,52.0,7.0
ASDM,Wednesday,06:00,96.0,52.0,7.0
ASDM,Wednesday,07:00,96.0,52.0,7.0
ASDM,Wednesday,08:00,96.0,52.0,7.0
ASDM,Wednesday,09:00,96.0,52.0,7.0
ASDM,Wednesday,10:00,93.0,56.0,55.0
ASDM,Wednesday,11:00,93.0,56.0,55.0
ASDM,Wednesday,12:00,93.0,56.0,55.0
ASDM,Wednesday,13:00,93.0,56.0,55.0
ASDM,Wednesday,14:00,95.0,0.0,28.0
ASDM,Wednesday,15:00,95.0,0.0,28.0
ASDM,Wednesday,16:00,95.0,0.0,28.0
ASDM,Wednesday,17:00,95.0,0.0,28.0
ASDM,Wednesday,18:00,92.0,0.0,21.0
ASDM,Wednesday,19:00,92.0,0.0,21.0
ASDM,Wednesday,20:00,92.0,0.0,21.0
ASDM,Wednesday,21:00,92.0,0.0,21.0
ASDM,Wednesday,22:00,93.0,22.0,14.0
ASDM,Wednesday,23:00,93.0,22.0,14.0
ASDM,Thursday,00:00,97.0,54.0,9.0
ASDM,Thursday,01:00,97.0,54.0,9.0
ASDM,Thursday,02:00,97.0,54.0,9.0
ASDM,Thursday,03:00,97.0,54.0,9.0
ASDM,Thursday,04:00,97.0,54.0,9.0
ASDM,Thursday,05:00,97.0,54.0,9.0
ASDM,Thursday,06:00,97.0,54.0,9.0
ASDM,Thursday,07:00,97.0,54.0,9.0
ASDM,Thursday,08:00,97.0,54.0,9.0
ASDM,Thursday,09:00,97.0,54.0,9.0
ASDM,Thursday,10:00,96.0,37.0,56.0
ASDM,Thursday,11:00,96.0,37.0,56.0
ASDM,Thursday,12:00,96.0,37.0,56.0
ASDM,Thursday,13:00,96.0,37.0,56.0
ASDM,Thursday,14:00,97.0,0.0,19.0
ASDM,Thursday,15:00,97.0,0.0,19.0
ASDM,Thursday,16:00,97.0,0.0,19.0
ASDM,Thursday,17:00,97.0,0.0,19.0
ASDM,Thursday,18:00,96.0,0.0,16.0
ASDM,Thursday,19:00,96.0,0.0,16.0
ASDM,Thursday,20:00,96.0,0.0,16.0
ASDM,Thursday,21:00,96.0,0.0,16.0
ASDM,Thursday,22:00,96.0,39.0,6.0
ASDM,Thursday,23:00,96.0,39.0,6.0
ASDM,Friday,00:00,97.0,56.0,6.0
ASDM,Friday,01:00,97.0,56.0,6.0
ASDM,Friday,02:00,97.0,56.0,6.0
ASDM,Friday,03:00,97.0,56.0,6.0
ASDM,Friday,04:00,97.0,56.0,6.0
ASDM,Friday,05:00,97.0,56.0,6.0
ASDM,Friday,06:00,97.0,56.0,6.0
ASDM,Friday,07:00,97.0,56.0,6.0
ASDM,Friday,08:00,97.0,56.0,6.0
ASDM,Friday,09:00,97.0,56.0,6.0
ASDM,Friday,10:00,94.0,60.0,61.0
ASDM,Friday,11:00,94.0,60.0,61.0
ASDM,Friday,12:00,94.0,60.0,61.0
ASDM,Friday,13:00,94.0,60.0,61.0
ASDM,Friday,14:00,95.0,0.0,14.0
ASDM,Friday,15:00,95.0,0.0,14.0
ASDM,Friday,16:00,95.0,0.0,14.0
ASDM,Friday,17:00,95.0,0.0,14.0
ASDM,Friday,18:00,92.0,0.0,14.0
ASDM,Friday,19:00,92.0,0.0,14.0
ASDM,Friday,20:00,92.0,0.0,14.0
ASDM,Friday,21:00,92.0,0.0,14.0
ASDM,Friday,22:00,96.0,20.0,7.0
ASDM,Friday,23:00,96.0,20.0,7.0
ASDM,Saturday,00:00,97.0,55.0,8.0
ASDM,Saturday,01:00,97.0,55.0,8.0
ASDM,Saturday,02:00,97.0,55.0,8.0
ASDM,Saturday,03:00,97.0,55.0,8.0
ASDM,Saturday,04:00,97.0,55.0,8.0
ASDM,Saturday,05:00,97.0,55.0,8.0
ASDM,Saturday,06:00,97.0,55.0,8.0
ASDM,Saturday,07:00,97.0,55.0,8.0
ASDM,Saturday,08:00,97.0,55.0,8.0
ASDM,Saturday,09:00,97.0,55.0,8.0
ASDM,Saturday,10:00,93.0,73.0,69.0
ASDM,Saturday,11:00,93.0,73.0,69.0
ASDM,Saturday,12:00,93.0,73.0,69.0
ASDM,Saturday,13:00,93.0,73.0,69.0
ASDM,Saturday,14:00,94.0,28.0,6.0
ASDM,Saturday,15:00,94.0,28.0,6.0
ASDM,Saturday,16:00,94.0,28.0,6.0
ASDM,Saturday,17:00,94.0,28.0,6.0
ASDM,Saturday,18:00,95.0,0.0,13.0
ASDM,Saturday,19:00,95.0,0.0,13.0
ASDM,Saturday,20:00,95.0,0.0,13.0
ASDM,Saturday,21:00,95.0,0.0,13.0
ASDM,Saturday,22:00,92.0,35.0,10.0
ASDM,Saturday,23:00,92.0,35.0,10.0
AZU,Sunday,00:00,84.0,94.0,0.0
AZU,Sunday,01:00,84.0,94.0,0.0
AZU,Sunday,02:00,84.0,94.0,0.0
AZU,Sunday,03:00,84.0,94.0,0.0
AZU,Sunday,04:00,84.0,94.0,0.0
AZU,Sunday,05:00,84.0,94.0,0.0
AZU,Sunday,06:00,84.0,94.0,0.0
AZU,Sunday,07:00,84.0,94.0,0.0
AZU,Sunday,08:00,84.0,94.0,0.0
AZU,Sunday,09:00,84.0,94.0,0.0
AZU,Sunday,10:00,85.0,93.0,0.0
AZU,Sunday,11:00,85.0,93.0,0.0
AZU,Sunday,12:00,85.0,93.0,0.0
AZU,Sunday,13:00,85.0,93.0,0.0
AZU,Sunday,14:00,84.0,90.0,0.0
AZU,Sunday,15:00,84.0,90.0,0.0
AZU,Sunday,16:00,84.0,90.0,0.0
AZU,Sunday,17:00,84.0,90.0,0.0
AZU,Sunday,18:00,85.0,91.0,0.0
AZU,Sunday,19:00,85.0,91.0,0.0
AZU,Sunday,20:00,85.0,91.0,0.0
AZU,Sunday,21:00,85.0,91.0,0.0
AZU,Sunday,22:00,84.0,89.0,17.0
AZU,Sunday,23:00,84.0,89.0,17.0
AZU,Monday,00:00,80.0,90.0,0.0
AZU,Monday,01:00,80.0,90.0,0.0
AZU,Monday,02:00,80.0,90.0,0.0
AZU,Monday,03:00,80.0,90.0,0.0
AZU,Monday,04:00,80.0,90.0,0.0
AZU,Monday,05:00,80.0,90.0,0.0
AZU,Monday,06:00,80.0,90.0,0.0
AZU,Monday,07:00,80.0,90.0,0.0
AZU,Monday,08:00,80.0,90.0,0.0
AZU,Monday,09:00,80.0,90.0,0.0
AZU,Monday,10:00,82.0,80.0,0.0
AZU,Monday,11:00,82.0,80.0,0.0
AZU,Monday,12:00,82.0,80.0,0.0
AZU,Monday,13:00,82.0,80.0,0.0
AZU,Monday,14:00,81.0,75.0,0.0
AZU,Monday,15:00,81.0,75.0,0.0
AZU,Monday,16:00,81.0,75.0,0.0
AZU,Monday,17:00,81.0,75.0,0.0
AZU,Monday,18:00,80.0,72.0,0.0
AZU,Monday,19:00,80.0,72.0,0.0
AZU,Monday,20:00,80.0,72.0,0.0
AZU,Monday,21:00,80.0,72.0,0.0
AZU,Monday,22:00,83.0,86.0,0.0
AZU,Monday,23:00,83.0,86.0,0.0
AZU,Tuesday,00:00,83.0,93.0,0.0
AZU,Tuesday,01:00,83.0,93.0,0.0
AZU,Tuesday,02:00,83.0,93.0,0.0
AZU,Tuesday,03:00,83.0,93.0,0.0
AZU,Tuesday,04:00,83.0,93.0,0.0
AZU,Tuesday,05:00,83.0,93.0,0.0
AZU,Tuesday,06:00,83.0,93.0,0.0
AZU,Tuesday,07:00,83.0,93.0,0.0
AZU,Tuesday,08:00,83.0,93.0,0.0
AZU,Tuesday,09:00,83.0,93.0,0.0
AZU,Tuesday,10:00,83.0,84.0,0.0
AZU,Tuesday,11:00,83.0,84.0,0.0
AZU,Tuesday,12:00,83.0,84.0,0.0
AZU,Tuesday,13:00,83.0,84.0,0.0
AZU,Tuesday,14:00,76.0,76.0,0.0
AZU,Tuesday,15:00,76.0,76.0,0.0
AZU,Tuesday,16:00,76.0,76.0,0.0
AZU,Tuesday,17:00,76.0,76.0,0.0
AZU,Tuesday,18:00,80.0,75.0,0.0
AZU,Tuesday,19:00,80.0,75.0,0.0
AZU,Tuesday,20:00,80.0,75.0,0.0
AZU,Tuesday,21:00,80.0,75.0,0.0
AZU,Tuesday,22:00,84.0,83.0,0.0
AZU,Tuesday,23:00,84.0,83.0,0.0
AZU,Wednesday,00:00,83.0,90.0,0.0
AZU,Wednesday,01:00,83.0,90.0,0.0
AZU,Wednesday,02:00,83.0,90.0,0.0
AZU,Wednesday,03:00,83.0,90.0,0.0
AZU,Wednesday,04:00,83.0,90.0,0.0
AZU,Wednesday,05:00,83.0,90.0,0.0
AZU,Wednesday,06:00,83.0,90.0,0.0
AZU,Wednesday,07:00,83.0,90.0,0.0
AZU,Wednesday,08:00,83.0,90.0,0.0
AZU,Wednesday,09:00,83.0,90.0,0.0
AZU,Wednesday,10:00,83.0,79.0,0.0
AZU,Wednesday,11:00,83.0,79.0,0.0
AZU,Wednesday,12:00,83.0,79.0,0.0
AZU,Wednesday,13:00,83.0,79.0,0.0
AZU,Wednesday,14:00,79.0,69.0,0.0
AZU,Wednesday,15:00,79.0,69.0,0.0
AZU,Wednesday,16:00,79.0,69.0,0.0
AZU,Wednesday,17:00,79.0,69.0,0.0
AZU,Wednesday,18:00,78.0,70.0,0.0
AZU,Wednesday,19:00,78.0,70.0,0.0
AZU,Wednesday,20:00,78.0,70.0,0.0
AZU,Wednesday,21:00,78.0,70.0,0.0
AZU,Wednesday,22:00,79.0,86.0,0.0
AZU,Wednesday,23:00,79.0,86.0,0.0
AZU,Thursday,00:00,78.0,92.0,0.0
AZU,Thursday,01:00,78.0,92.0,0.0
AZU,Thursday,02:00,78.0,92.0,0.0
AZU,Thursday,03:00,78.0,92.0,0.0
AZU,Thursday,04:00,78.0,92.0,0.0
AZU,Thursday,05:00,78.0,92.0,0.0
AZU,Thursday,06:00,78.0,92.0,0.0
AZU,Thursday,07:00,78.0,92.0,0.0
AZU,Thursday,08:00,78.0,92.0,0.0
AZU,Thursday,09:00,78.0,92.0,0.0
AZU,Thursday,10:00,76.0,77.0,0.0
AZU,Thursday,11:00,76.0,77.0,0.0
AZU,Thursday,12:00,76.0,77.0,0.0
AZU,Thursday,13:00,76.0,77.0,0.0
AZU,Thursday,14:00,76.0,69.0,0.0
