station_name	station_code	parking_lat	parking_lon
tughlakabad station	TKDS		
tikri kalan	TKLM		
trilokpuri-sanjay lake	TKPR		
tilak nagar	TN	28.636218	77.095951
tis hazari	TZI	28.667173	77.217905
udyog bhawan	UDB		
uttam nagar east	UNE	28.625697	77.066314
uttam nagar east	UNE	28.624806	77.065852
uttam nagar east	UNE	28.624062	77.064997
udyog nagar	UNRG	28.681412	77.080169
uttam nagar west	UNW	28.621508	77.055556
vaishali	VASI	28.649379	77.338356
vaishali	VASI	28.650549	77.340294
east vinod nagar-mayur vihar -ii	VENT		
mandawali - west vinod nagar	VNNR		
vinobapuri	VNPR	28.0566149	77.251399
vidhan sabha	VS		
vasant vihar	VTVR	28.557556	77.162717
vishwavidyalaya	VW	28.69525	77.21299
welcome	WC	28.672605	77.278793
yamuna bank	YB	28.62326	77.270866
