station_name	station_code	elevated	toilet	parking_available	parking_cycle	parking_motorcycle	parking_car	gate_location	lat	lon	contractor	contact_number	parking_lat	parking_lon
jangpura	JGPA	FALSE	TRUE	FALSE	0	0	0		29	77				
jahangirpuri	JGPI	TRUE	TRUE	TRUE	84	808	79	Near Gate No. 1 and 2	29	77	M/s. Kake Finvest Pvt. Ltd.	"9810109914
9716819619"	29	77
johri enclave	JIEE	TRUE	TRUE	FALSE	0	0	0		29	77				
jasola-apollo	JLA	TRUE	TRUE	TRUE	22	207	20	Near Gate Number-1	29	77	M/s. Ajay Kumar.	"9013414327
9810035926"	29	77
jasola vihar shaheen bagh	JLA8	FALSE	TRUE	TRUE	88	848	82	Near Gate Number-03	29	77	M/s. Tara Singh.	9213224865	29	77
jhilmil	JLML	TRUE	TRUE	TRUE	50	250	105	Near Gate Number-02	29	77			29	77
jln stadium	JLNS	FALSE	TRUE	FALSE	0	0	0							
janpath	JNPH	FALSE	TRUE	FALSE	0	0	0		29	77				
janak puri east	JPE	TRUE	TRUE	TRUE	76	731	71	Near Gate No. 02	29	77	M/s. Kake Finvest Pvt. Ltd.	"9810109914
9716819619"	29	77
janak puri west	JPW	TRUE	TRUE	FALSE	0	0	0		29	77				
jhandewalan	JW	TRUE	TRUE	FALSE	0	0	0		29	77				
karol bagh	KB	TRUE	TRUE	FALSE	0	0	0		29	77				
kohat enclave	KE	TRUE	TRUE	TRUE	25	150	200	Near Gate Number-1	29	77	M/s. Lakhvinder Singh.	9711113313	29	77
kohat enclave	KE	TRUE	TRUE	TRUE	15	100	30	Near Gate Number-2	29	77	M/s. Lakhvinder Singh.	9711113313	29	77
kashmere gate	KG	FALSE	TRUE	TRUE	165	1584	154	Near Gate Number-1	29	77	M/s. MAAC International Facility Management Private Limited.	9958986677	29	77
kashmere gate	KG	FALSE	TRUE	TRUE	165	1584	154	Near Gate Number-2	29	77	M/s. MAAC International Facility Management Private Limited.	9958986677	29	77
kashmere gate	KG	FALSE	TRUE	TRUE	165	1584	154	Near Gate Number-3	29	77	M/s. MAAC International Facility Management Private Limited.	9958986677	29	77
kashmere gate	KG	FALSE	TRUE	TRUE	165	1584	154	Near Gate Number-4	29	77	M/s. MAAC International Facility Management Private Limited.	9958986677	29	77
kailash colony	KHCY	TRUE	TRUE	FALSE	0	0	0		29	77				
krishna nagar	KHNA	FALSE	TRUE	FALSE	0	0	0		29	77				
kalindi kunj	KIKJ	FALSE	TRUE	TRUE	68	648	63		29	77	Operated by DMRC.	9205682376	29	77
kalkaji mandir	KJMD	FALSE	TRUE	TRUE	0	100	150	Near Gate Number-1	29	77	M/s. V Inspirer Facility Management Pvt. Ltd.	9910803493	29	77
karkarduma	KKDA	TRUE	TRUE	TRUE	35	400	200	Near Gate Number-2	29	77	M/s. Snepra Secure Services Pvt. Ltd	9650365860	29	77
karkarduma court	KKDC	TRUE	TRUE	FALSE	0	0	0		29	77				
khan market	KM	FALSE	TRUE	FALSE	0	0	0		29	77				
kanhaiya nagar	KN	TRUE	TRUE	TRUE	60	1200	400	Gate No. 1	29	77	M/s. Dhiraj Gupta.	9811115398	29	77
kanhaiya nagar	KN	TRUE	TRUE	TRUE	20	90	25	Gate No. 4	29	77	M/s. Dhiraj Gupta.	9811115398	29	77
kanhaiya nagar	KN	TRUE	TRUE	TRUE	30	100	30	Gate No. 3	29	77	M/s. Dhiraj Gupta.	9811115398	29	77
kirti nagar	KNR	TRUE	TRUE	TRUE	58	578	154	Near Gate No. 1 (L-5)	29	77	M/s. Lakhvinder Singh.	9711113313	29	77
kirti nagar	KNR	TRUE	TRUE	TRUE	58	578	154	Near Gate No. 1 (L-3)	29	77	M/s. Lakhvinder Singh.	9711113313	29	77
keshav puram	KP	TRUE	TRUE	TRUE	60	350	100	Gate No. 3	29	77	M/s. Lakhvinder Singh.	9711113313	29	77
kaushambi	KSHI	TRUE	TRUE	TRUE	20	250	100	Near Gate Number- 1	29	77	M/s. Lakhvinder Singh.	9711113313	29	77
kaushambi	KSHI	TRUE	TRUE	TRUE	20	250	100	Near Gate Number- 2	29	77	M/s. Lakhvinder Singh.	9711113313	29	77
lajpat nagar	LJPN	TRUE	TRUE	TRUE	10	40	75	Near Gate Number-1	29	77	M/s. Ajay Kumar.	"9013414327
9810035926"	29	77
lok kalyan marg	LKM	FALSE	TRUE	FALSE	0	0	0		29	77				
lal quila	LLQA	FALSE	TRUE	FALSE	0	0	0		29	77				
laxmi nagar	LN	TRUE	TRUE	FALSE	0	0	0		29	77				
madipur	MAPR	TRUE	TRUE	TRUE	104	997	97	Near Gate No.1	29	77	M/s. Manpreet Singh & Co.	9810187157	29	77
mandi house	MDHS	FALSE	TRUE	FALSE	0	0	0		29	77				
model town	MDTW	TRUE	TRUE	FALSE	0	0	0		29	77				
mohan estate	METE	TRUE	TRUE	TRUE	91	873	85	Near Gate No.1	29	77	M/s. Milestone Security and Placement Services.	"9990053233
9873126174"	29	77
m.g. road	MGRO	TRUE	TRUE	TRUE	35	338	33	Near Gate No.1	28	77	M/s. Joginder Singh.	9910719234	28	77
